Model;Decoration;K;Llk;AIC;BIC
LG;+G;134;-2835,62947;5939,25894;6217,64895
LG;+G+I;135;-2835,60165;5941,20330;6221,67085
LG;+G+F;153;-2821,90082;5949,80164;6267,66486
LG;+G+I+F;154;-2821,87029;5951,74058;6271,68134
MtZoa;+G+F;153;-2832,08880;5970,17760;6288,04082
RtREV;+G+F;153;-2837,72094;5981,44188;6299,30510
MtArt;+G+F;153;-2839,93681;5985,87362;6303,73684
CpREV;+G+F;153;-2854,55728;6015,11456;6332,97778
RtREV;+G;134;-2873,94513;6015,89026;6294,28027
MtZoa;+G;134;-2893,89577;6055,79154;6334,18155
Blosum62;+G+F;153;-2884,73510;6075,47020;6393,33342
Blosum62;+G;134;-2905,29820;6078,59640;6356,98641
CpREV;+G;134;-2905,36204;6078,72408;6357,11409
WAG;+G;134;-2910,02668;6088,05336;6366,44337
WAG;+G+F;153;-2891,57451;6089,14902;6407,01224
VT;+G+F;153;-2896,22676;6098,45352;6416,31674
VT;+G;134;-2915,93933;6099,87866;6378,26867
MtArt;+G;134;-2919,09598;6106,19196;6384,58197
MtREV;+G+F;153;-2914,92336;6135,84672;6453,70994
JTT;+G;134;-2935,68267;6139,36534;6417,75535
Dayhoff;+G+F;153;-2920,01886;6146,03772;6463,90094
DCMut;+G+F;153;-2920,41452;6146,82904;6464,69226
JTT;+G+F;153;-2923,13330;6152,26660;6470,12982
Dayhoff;+G;134;-2953,42685;6174,85370;6453,24371
DCMut;+G;134;-2953,87709;6175,75418;6454,14419
MtMam;+G+F;153;-2951,17554;6208,35108;6526,21430
HIVb;+G+F;153;-2968,70430;6243,40860;6561,27182
HIVb;+G;134;-2997,31768;6262,63536;6541,02537
MtREV;+G;134;-3003,34564;6274,69128;6553,08129
Flu;+G;134;-3033,96806;6335,93612;6614,32613
MtMam;+G;134;-3036,13197;6340,26394;6618,65395
Flu;+G+F;153;-3030,20594;6366,41188;6684,27510
AB;+G+F;153;-3080,38665;6466,77330;6784,63652
AB;+G;134;-3126,36242;6520,72484;6799,11485
HIVw;+G;134;-3159,04978;6586,09956;6864,48957
HIVw;+G+F;153;-3143,53041;6593,06082;6910,92404
